"","flybasecg","flybase","pass.min.cells","is.mito","chr","start","end","strand","transcript.length"
"CG32816","CG32816","FBgn0052816",TRUE,FALSE,"X",316576,470726,"-",154151
"CG43181","CG43181","FBgn0262810",FALSE,FALSE,"X",350566,351133,"+",568
"CG43182","CG43182","FBgn0262811",FALSE,FALSE,"X",353067,353317,"+",251
"y","CG3757","FBgn0004034",TRUE,FALSE,"X",356509,361245,"+",4737
"lncRNA:yar","CR42744","FBgn0266568",TRUE,FALSE,"X",362399,367072,"+",4674
"ac","CG3796","FBgn0000022",FALSE,FALSE,"X",370031,370947,"+",917
"lncRNA:CR44751","CR44751","FBgn0265964",TRUE,FALSE,"X",376987,377642,"+",656
"lncRNA:CR44752","CR44752","FBgn0265965",TRUE,FALSE,"X",385558,386274,"+",717
"lncRNA:CR44753","CR44753","FBgn0265966",TRUE,FALSE,"X",391835,393227,"-",1393
"sc","CG3827","FBgn0004170",FALSE,FALSE,"X",396060,397497,"+",1438
"l(1)sc","CG3839","FBgn0002561",FALSE,FALSE,"X",409721,410817,"+",1097
"Pgcl","CG13374","FBgn0011822",FALSE,FALSE,"X",436139,437448,"-",1310
"ase","CG3258","FBgn0000137",FALSE,FALSE,"X",460747,463176,"+",2430
"Cyp4g1","CG3972","FBgn0010019",TRUE,FALSE,"X",467057,469335,"-",2279
"ebo","CG3923","FBgn0266572",TRUE,FALSE,"X",471019,476579,"-",5561
"CG13373","CG13373","FBgn0029522",TRUE,FALSE,"X",476984,478191,"+",1208
"CG32817","CG32817","FBgn0052817",TRUE,FALSE,"X",479066,480166,"+",1101
"CG3176","CG3176","FBgn0029524",TRUE,FALSE,"X",481862,482768,"+",907
"CG18273","CG18273","FBgn0029525",TRUE,FALSE,"X",482777,487581,"-",4805
"CG3156","CG3156","FBgn0023536",TRUE,FALSE,"X",487878,490725,"+",2848
"asRNA:CR45797","CR45797","FBgn0267447",TRUE,FALSE,"X",487898,488333,"-",436
"CG17896","CG17896","FBgn0023537",TRUE,FALSE,"X",490787,493495,"-",2709
"CG17778","CG17778","FBgn0023534",TRUE,FALSE,"X",494614,496369,"+",1756
"svr","CG4122","FBgn0004648",TRUE,FALSE,"X",496446,509072,"+",12627
"asRNA:CR44891","CR44891","FBgn0266196",FALSE,FALSE,"X",496597,497374,"-",778
"asRNA:CR44892","CR44892","FBgn0266197",FALSE,FALSE,"X",498097,499456,"-",1360
"elav","CG4262","FBgn0260400",TRUE,FALSE,"X",509235,523226,"-",13992
"arg","CG18104","FBgn0023535",TRUE,FALSE,"X",509435,528028,"+",18594
"lncRNA:enrr","CR46392","FBgn0286870",FALSE,FALSE,"X",513106,523226,"-",10121
"CG4293","CG4293","FBgn0024983",TRUE,FALSE,"X",527941,530291,"-",2351
"Appl","CG7727","FBgn0000108",TRUE,FALSE,"X",530501,579044,"+",48544
"mir-4960","CR43519","FBgn0263534",FALSE,FALSE,"X",569903,570003,"+",101
"vnd","CG6172","FBgn0261930",FALSE,FALSE,"X",582121,598151,"+",16031
"spdi","CG13366","FBgn0025633",TRUE,FALSE,"X",585081,620195,"-",35115
"lncRNA:CR45474","CR45474","FBgn0267030",TRUE,FALSE,"X",620282,620729,"+",448
"CG13365","CG13365","FBgn0029529",TRUE,FALSE,"X",620717,621215,"-",499
"Vsp37A","CG17828","FBgn0016038",TRUE,FALSE,"X",621530,623051,"+",1522
"CG13369","CG13369","FBgn0025640",TRUE,FALSE,"X",623468,624765,"+",1298
"CG13364","CG13364","FBgn0026879",TRUE,FALSE,"X",624757,625203,"-",447
"lncRNA:CR45475","CR45475","FBgn0267031",TRUE,FALSE,"X",625247,625661,"+",415
"Hinfp","CG17829","FBgn0025635",TRUE,FALSE,"X",625542,628016,"+",2475
"RpL36","CG7622","FBgn0002579",TRUE,FALSE,"X",628338,629483,"-",1146
"Mybbp1A","CG6189","FBgn0001341",TRUE,FALSE,"X",629773,633633,"+",3861
"Dredd","CG7486","FBgn0020381",TRUE,FALSE,"X",633622,635545,"-",1924
"mir-9372","CR46283","FBgn0283549",FALSE,FALSE,"X",633691,633751,"-",61
"su(sable)","CG6222","FBgn0003575",TRUE,FALSE,"X",635890,643760,"+",7871
"CG13367","CG13367","FBgn0025634",TRUE,FALSE,"X",644761,646386,"+",1626
"Roc1a","CG16982","FBgn0025638",TRUE,FALSE,"X",647304,648597,"+",1294
"Hmt4-20","CG13363","FBgn0025639",TRUE,FALSE,"X",648483,656033,"-",7551
"SkpA","CG16983","FBgn0025637",TRUE,FALSE,"X",656114,657899,"+",1786
"sdk","CG5227","FBgn0021764",TRUE,FALSE,"X",686834,749496,"+",62663
"CG13362","CG13362","FBgn0029531",FALSE,FALSE,"X",749241,751301,"-",2061
"CG5254","CG5254","FBgn0040383",TRUE,FALSE,"X",750347,758719,"+",8373
"CG13361","CG13361","FBgn0029532",FALSE,FALSE,"X",752011,753653,"-",1643
"CG5273","CG5273","FBgn0040382",TRUE,FALSE,"X",759594,761939,"+",2346
"lncRNA:CR44965","CR44965","FBgn0266280",FALSE,FALSE,"X",761976,762500,"+",525
"RpL22","CG7434","FBgn0015288",TRUE,FALSE,"X",762560,765130,"-",2571
"lncRNA:CR42491","CR42491","FBgn0259993",TRUE,FALSE,"X",762615,763810,"-",1196
"snoRNA:Psi18S-531","CR34590","FBgn0083027",TRUE,FALSE,"X",763083,763234,"-",152
"snoRNA:Psi28S-2179","CR33918","FBgn0086666",FALSE,FALSE,"X",763942,764086,"-",145
"lncRNA:CR44966","CR44966","FBgn0266281",FALSE,FALSE,"X",765288,766100,"+",813
"fz3","CG16785","FBgn0027343",TRUE,FALSE,"X",769945,784222,"+",14278
"tw","CG12311","FBgn0086368",FALSE,FALSE,"X",784746,788215,"+",3470
"CG13360","CG13360","FBgn0025620",TRUE,FALSE,"X",787855,790089,"-",2235
"lncRNA:CR44469","CR44469","FBgn0265662",FALSE,FALSE,"X",790284,790566,"-",283
"CG16989","CG16989","FBgn0025621",TRUE,FALSE,"X",793147,797061,"+",3915
"Rbf","CG7413","FBgn0015799",TRUE,FALSE,"X",797090,801479,"-",4390
"CG13359","CG13359","FBgn0025616",TRUE,FALSE,"X",801669,803470,"-",1802
"CG13358","CG13358","FBgn0026874",FALSE,FALSE,"X",803424,804921,"-",1498
"Sec22","CG7359","FBgn0260855",TRUE,FALSE,"X",806076,808200,"+",2125
"CG43867","CG43867","FBgn0264449",TRUE,FALSE,"X",808217,927975,"-",119759
"CG14635","CG14635","FBgn0029535",TRUE,FALSE,"X",844823,845297,"+",475
"CG3713","CG3713","FBgn0040343",TRUE,FALSE,"X",846171,847157,"-",987
"CG14634","CG14634","FBgn0040892",TRUE,FALSE,"X",862608,863200,"+",593
"CG11664","CG11664","FBgn0040341",FALSE,FALSE,"X",875732,876612,"+",881
"CG11663","CG11663","FBgn0029539",TRUE,FALSE,"X",894482,895200,"+",719
"Lztr1","CG3711","FBgn0040344",TRUE,FALSE,"X",922889,927582,"-",4694
"MED22","CG3034","FBgn0040339",TRUE,FALSE,"X",928139,928860,"+",722
"CG3708","CG3708","FBgn0040345",TRUE,FALSE,"X",928798,930098,"-",1301
"CG3706","CG3706","FBgn0040342",FALSE,FALSE,"X",930931,932475,"-",1545
"CG32815","CG32815","FBgn0052815",TRUE,FALSE,"X",932466,939424,"+",6959
"TRAM","CG11642","FBgn0040340",TRUE,FALSE,"X",935232,937822,"+",2591
"CG3704","CG3704","FBgn0040346",TRUE,FALSE,"X",939170,940805,"-",1636
"mus81","CG3026","FBgn0040347",TRUE,FALSE,"X",941075,943229,"+",2155
"CG3703","CG3703","FBgn0040348",TRUE,FALSE,"X",942474,945773,"-",3300
"CG3699","CG3699","FBgn0040349",TRUE,FALSE,"X",946662,947500,"-",839
"CG3690","CG3690","FBgn0040350",TRUE,FALSE,"X",948585,951900,"-",3316
"lncRNA:CR45476","CR45476","FBgn0267032",FALSE,FALSE,"X",968496,968741,"-",246
"CG18823","CG18823","FBgn0042146",TRUE,FALSE,"X",990518,991184,"+",667
"TfIIA-S-2","CG11639","FBgn0040338",TRUE,FALSE,"X",1011101,1011643,"-",543
"CG14631","CG14631","FBgn0029552",TRUE,FALSE,"X",1012035,1012624,"+",590
"su(w[a])","CG3019","FBgn0003638",TRUE,FALSE,"X",1012779,1046040,"+",33262
"CG11638","CG11638","FBgn0040351",TRUE,FALSE,"X",1013984,1026703,"-",12720
"CG32814","CG32814","FBgn0052814",TRUE,FALSE,"X",1019795,1026700,"-",6906
"CG3021","CG3021","FBgn0040337",TRUE,FALSE,"X",1026791,1028290,"+",1500
"Cdc45","CG3658","FBgn0026143",TRUE,FALSE,"X",1028291,1030556,"-",2266
"Rpp21","CG33082","FBgn0053082",TRUE,FALSE,"X",1030758,1033119,"+",2362
"CG14630","CG14630","FBgn0014903",FALSE,FALSE,"X",1031496,1033165,"+",1670
"CG42259","CG42259","FBgn0266569",TRUE,FALSE,"X",1046224,1047009,"+",786
"lncRNA:CR44779","CR44779","FBgn0266005",TRUE,FALSE,"X",1047242,1088866,"+",41625
"CG14629","CG14629","FBgn0040398",TRUE,FALSE,"X",1051525,1052631,"+",1107
"CG3655","CG3655","FBgn0040397",TRUE,FALSE,"X",1073041,1134896,"-",61856
"CG14628","CG14628","FBgn0040365",TRUE,FALSE,"X",1145644,1146132,"+",489
"eIF4E7","CG32859","FBgn0040368",TRUE,FALSE,"X",1158599,1162389,"-",3791
"CG11378","CG11378","FBgn0040364",TRUE,FALSE,"X",1170828,1173797,"+",2970
"CG11384","CG11384","FBgn0040363",FALSE,FALSE,"X",1173877,1176035,"-",2159
"CG11379","CG11379","FBgn0040362",TRUE,FALSE,"X",1180165,1181551,"+",1387
"CG14627","CG14627","FBgn0040361",FALSE,FALSE,"X",1181620,1183502,"+",1883
"CG14626","CG14626","FBgn0040360",FALSE,FALSE,"X",1184778,1188585,"+",3808
"CG11380","CG11380","FBgn0040359",FALSE,FALSE,"X",1191308,1196660,"+",5353
"CG14625","CG14625","FBgn0040358",FALSE,FALSE,"X",1199546,1203157,"+",3612
"CG11381","CG11381","FBgn0029568",FALSE,FALSE,"X",1203777,1205433,"+",1657
"CG14624","CG14624","FBgn0040357",FALSE,FALSE,"X",1206737,1207555,"+",819
"CG11382","CG11382","FBgn0040367",TRUE,FALSE,"X",1209970,1211853,"+",1884
"CG11398","CG11398","FBgn0040366",TRUE,FALSE,"X",1211989,1215156,"-",3168
"CG3638","CG3638","FBgn0261444",TRUE,FALSE,"X",1215289,1236684,"-",21396
"CG11403","CG11403","FBgn0026876",TRUE,FALSE,"X",1236873,1239884,"-",3012
"Atf3","CG11405","FBgn0028550",TRUE,FALSE,"X",1242740,1275284,"-",32545
"CG32812","CG32812","FBgn0025642",TRUE,FALSE,"X",1287290,1288945,"+",1656
"DAAM","CG14622","FBgn0025641",TRUE,FALSE,"X",1289713,1322362,"-",32650
"CG32811","CG32811","FBgn0052811",TRUE,FALSE,"X",1297984,1298387,"-",404
"lncRNA:CR46248","CR46248","FBgn0267970",FALSE,FALSE,"X",1299770,1300333,"+",564
"fs(1)N","CG11411","FBgn0004650",TRUE,FALSE,"X",1322513,1329438,"+",6926
"CG11409","CG11409","FBgn0024366",TRUE,FALSE,"X",1329518,1341587,"-",12070
"Naa30A","CG11412","FBgn0024362",TRUE,FALSE,"X",1342106,1344770,"+",2665
"MTPAP","CG11418","FBgn0024360",TRUE,FALSE,"X",1344872,1349357,"-",4486
"Tsp2A","CG11415","FBgn0024361",TRUE,FALSE,"X",1346553,1348143,"+",1591
"CG12773","CG12773","FBgn0024365",TRUE,FALSE,"X",1349623,1353981,"-",4359
"CG11417","CG11417","FBgn0024364",TRUE,FALSE,"X",1354014,1356473,"+",2460
"png","CG11420","FBgn0000826",TRUE,FALSE,"X",1356488,1357601,"-",1114
"CG14770","CG14770","FBgn0029573",FALSE,FALSE,"X",1369249,1370176,"+",928
"ssx","CG3056","FBgn0024987",TRUE,FALSE,"X",1370580,1375257,"+",4678
"mir-4961","CR43537","FBgn0263552",FALSE,FALSE,"X",1373623,1373755,"+",133
"AMPKalpha","CG3051","FBgn0023169",TRUE,FALSE,"X",1375536,1378896,"+",3361
"CG3719","CG3719","FBgn0024986",TRUE,FALSE,"X",1378885,1380480,"-",1596
"CG32813","CG32813","FBgn0052813",TRUE,FALSE,"X",1380914,1392843,"+",11930
"Rilpl","CG11448","FBgn0024985",TRUE,FALSE,"X",1393054,1397337,"+",4284
"futsch","CG34387","FBgn0259108",TRUE,FALSE,"X",1409069,1453686,"+",44618
"Gr2a","CG18531","FBgn0265139",FALSE,FALSE,"X",1452430,1454177,"+",1748
"CG14785","CG14785","FBgn0027795",TRUE,FALSE,"X",1455215,1457054,"-",1840
"Lrpprc2","CG14786","FBgn0027794",TRUE,FALSE,"X",1457175,1460617,"-",3443
"CG14787","CG14787","FBgn0027793",TRUE,FALSE,"X",1460807,1461676,"-",870
"Ns3","CG14788","FBgn0266284",TRUE,FALSE,"X",1461844,1464220,"-",2377
"O-fut2","CG14789","FBgn0027791",TRUE,FALSE,"X",1464363,1465996,"-",1634
"CG14777","CG14777","FBgn0026872",TRUE,FALSE,"X",1466134,1468692,"+",2559
"CG14778","CG14778","FBgn0029580",TRUE,FALSE,"X",1467493,1470614,"+",3122
"CG32808","CG32808","FBgn0052808",TRUE,FALSE,"X",1468693,1469817,"-",1125
"pck","CG14779","FBgn0013720",TRUE,FALSE,"X",1470666,1472325,"+",1660
"CG14780","CG14780","FBgn0025383",FALSE,FALSE,"X",1472522,1473727,"+",1206
"Rab27","CG14791","FBgn0025382",TRUE,FALSE,"X",1473884,1476974,"-",3091
"mei-38","CG14781","FBgn0260986",TRUE,FALSE,"X",1477063,1481420,"+",4358
"rush","CG14782","FBgn0025381",TRUE,FALSE,"X",1478552,1481420,"+",2869
"sta","CG14792","FBgn0003517",TRUE,FALSE,"X",1481797,1483413,"-",1617
"snoRNA:M","CR32807","FBgn0044508",FALSE,FALSE,"X",1482492,1482590,"-",99
"snoRNA:Me28S-G980","CR34671","FBgn0086042",FALSE,FALSE,"X",1482559,1482629,"-",71
"inc","CG32810","FBgn0025394",TRUE,FALSE,"X",1483479,1517615,"+",34137
"Nmdar2","CG33513","FBgn0053513",TRUE,FALSE,"X",1483625,1507809,"-",24185
"CG14795","CG14795","FBgn0025393",TRUE,FALSE,"X",1512227,1512803,"-",577
"Mur2B","CG14796","FBgn0025390",TRUE,FALSE,"X",1523554,1668788,"-",145235
"sncRNA:400","CR33699","FBgn0065095",FALSE,FALSE,"X",1558349,1558400,"-",52
"br","CG11491","FBgn0283451",TRUE,FALSE,"X",1575132,1664869,"+",89738
"dor","CG3093","FBgn0000482",TRUE,FALSE,"X",1665052,1668451,"+",3400
"CG3740","CG3740","FBgn0023530",TRUE,FALSE,"X",1668406,1669297,"-",892
"hfw","CG3095","FBgn0001189",TRUE,FALSE,"X",1669570,1673608,"+",4039
"CG32809","CG32809","FBgn0023531",TRUE,FALSE,"X",1673110,1692768,"-",19659
"CG14797","CG14797","FBgn0029587",FALSE,FALSE,"X",1681566,1684891,"+",3326
"b6","CG3100","FBgn0024897",FALSE,FALSE,"X",1686624,1690187,"+",3564
"a6","CG3771","FBgn0023130",TRUE,FALSE,"X",1693615,1695889,"-",2275
"CG3795","CG3795","FBgn0025378",TRUE,FALSE,"X",1708806,1710182,"-",1377
"Scgdelta","CG14808","FBgn0025391",FALSE,FALSE,"X",1735945,1754065,"-",18121
"prage","CG42666","FBgn0283741",TRUE,FALSE,"X",1773719,1853667,"+",79949
"Adar","CG12598","FBgn0026086",TRUE,FALSE,"X",1773725,1788065,"+",14341
"mir-981","CR42885","FBgn0262178",FALSE,FALSE,"X",1788861,1788957,"-",97
"CG32806","CG32806","FBgn0052806",TRUE,FALSE,"X",1789566,1790418,"+",853
"CG14810","CG14810","FBgn0029589",TRUE,FALSE,"X",1819495,1820341,"-",847
"CG14811","CG14811","FBgn0029590",TRUE,FALSE,"X",1821469,1822381,"-",913
"Lamtor5","CG14812","FBgn0026090",TRUE,FALSE,"X",1857889,1858971,"-",1083
"deltaCOP","CG14813","FBgn0028969",TRUE,FALSE,"X",1859141,1861790,"-",2650
"Gcna","CG14814","FBgn0023515",TRUE,FALSE,"X",1862009,1865835,"-",3827
"MED18","CG14802","FBgn0026873",TRUE,FALSE,"X",1865909,1866887,"+",979
"Pex5","CG14815","FBgn0023516",TRUE,FALSE,"X",1866832,1869061,"-",2230
"CG14803","CG14803","FBgn0023513",TRUE,FALSE,"X",1868870,1872408,"+",3539
"Pgam5","CG14816","FBgn0023517",TRUE,FALSE,"X",1872400,1873565,"-",1166
"Vps26","CG14804","FBgn0014411",TRUE,FALSE,"X",1873853,1876474,"+",2622
"CG14817","CG14817","FBgn0026089",TRUE,FALSE,"X",1876294,1877270,"-",977
"CG14805","CG14805","FBgn0023514",TRUE,FALSE,"X",1877317,1879077,"+",1761
"CG14818","CG14818","FBgn0026088",TRUE,FALSE,"X",1879019,1879774,"-",756
"Coa8","CG14806","FBgn0029594",TRUE,FALSE,"X",1880282,1881432,"+",1151
"trr","CG3848","FBgn0023518",TRUE,FALSE,"X",1881313,1889950,"-",8638
"mRpL16","CG3109","FBgn0023519",TRUE,FALSE,"X",1890256,1891482,"+",1227
"arm","CG11579","FBgn0000117",TRUE,FALSE,"X",1891401,1900646,"-",9246
"Ldaf1","CG32803","FBgn0052803",TRUE,FALSE,"X",1900699,1901911,"-",1213
"asRNA:CR45929","CR45929","FBgn0267591",FALSE,FALSE,"X",1900768,1901162,"+",395
"asRNA:CR43864","CR43864","FBgn0264446",TRUE,FALSE,"X",1902028,1903733,"+",1706
"CG32801","CG32801","FBgn0052801",TRUE,FALSE,"X",1902082,1903177,"-",1096
"Edem1","CG3810","FBgn0023511",TRUE,FALSE,"X",1903704,1908827,"-",5124
"mip130","CG3480","FBgn0023509",TRUE,FALSE,"X",1908239,1920318,"+",12080
"Rbcn-3B","CG17766","FBgn0023510",TRUE,FALSE,"X",1908920,1916825,"+",7906
"eIF2Bepsilon","CG3806","FBgn0023512",TRUE,FALSE,"X",1920166,1922874,"-",2709
"Ocrl","CG3573","FBgn0023508",TRUE,FALSE,"X",1922981,1927524,"+",4544
"CG11596","CG11596","FBgn0023522",TRUE,FALSE,"X",1927683,1930517,"+",2835
"CG3857","CG3857","FBgn0023520",TRUE,FALSE,"X",1937700,1940040,"-",2341
"CG3587","CG3587","FBgn0023521",TRUE,FALSE,"X",1940307,1941536,"+",1230
"Hr4","CG43934","FBgn0264562",TRUE,FALSE,"X",1941940,2007956,"+",66017
"PIG-K","CG4406","FBgn0023545",TRUE,FALSE,"X",2007911,2009364,"-",1454
"lncRNA:CR45478","CR45478","FBgn0267034",FALSE,FALSE,"X",2009957,2010287,"+",331
"mir-2496","CR43004","FBgn0262297",FALSE,FALSE,"X",2010300,2010417,"+",118
"east","CG4399","FBgn0261954",TRUE,FALSE,"X",2010860,2024647,"+",13788
"Actn","CG4376","FBgn0000667",TRUE,FALSE,"X",2023822,2042311,"-",18490
"mir-4954","CR43527","FBgn0263542",FALSE,FALSE,"X",2029004,2029094,"-",91
"usp","CG4380","FBgn0003964",TRUE,FALSE,"X",2038798,2042311,"-",3514
"CG4313","CG4313","FBgn0025632",TRUE,FALSE,"X",2041868,2055414,"+",13547
"CG4325","CG4325","FBgn0026878",TRUE,FALSE,"X",2042730,2043818,"-",1089
"moody","CG4322","FBgn0025631",TRUE,FALSE,"X",2044292,2050120,"-",5829
"Sik2","CG4290","FBgn0025625",TRUE,FALSE,"X",2055310,2061915,"-",6606
"asRNA:CR44896","CR44896","FBgn0266201",FALSE,FALSE,"X",2055948,2056425,"+",478
"CG4281","CG4281","FBgn0025626",TRUE,FALSE,"X",2062313,2065142,"-",2830
"CG14054","CG14054","FBgn0029596",TRUE,FALSE,"X",2065273,2066359,"-",1087
"asRNA:CR44381","CR44381","FBgn0265531",TRUE,FALSE,"X",2065455,2066106,"+",652
"CG4199","CG4199","FBgn0025628",TRUE,FALSE,"X",2066435,2073483,"-",7049
"CG4194","CG4194","FBgn0025627",FALSE,FALSE,"X",2068592,2069688,"+",1097
"asRNA:CR44382","CR44382","FBgn0265532",TRUE,FALSE,"X",2071710,2072189,"+",480
"Rtca","CG4061","FBgn0025630",TRUE,FALSE,"X",2072413,2074890,"+",2478
"CG4045","CG4045","FBgn0025629",TRUE,FALSE,"X",2074795,2075900,"-",1106
"CG4025","CG4025","FBgn0025624",TRUE,FALSE,"X",2076966,2078455,"+",1490
"CG16903","CG16903","FBgn0040394",TRUE,FALSE,"X",2078343,2080405,"-",2063
"Unc-76","CG3981","FBgn0040395",TRUE,FALSE,"X",2080610,2093948,"+",13339
"csw","CG3954","FBgn0000382",TRUE,FALSE,"X",2094234,2115701,"+",21468
"snoRNA:Me18S-C1024","CR34672","FBgn0086043",FALSE,FALSE,"X",2101927,2102025,"+",99
"ph-d","CG3895","FBgn0004860",TRUE,FALSE,"X",2115727,2123286,"-",7560
"ph-p","CG18412","FBgn0004861",TRUE,FALSE,"X",2126210,2138371,"-",12162
"D2hgdh","CG3835","FBgn0023507",TRUE,FALSE,"X",2141489,2144937,"+",3449
"Pgd","CG3724","FBgn0004654",TRUE,FALSE,"X",2145136,2148566,"+",3431
"bcn92","CG3717","FBgn0013432",TRUE,FALSE,"X",2148463,2149647,"-",1185
"wapl","CG3707","FBgn0004655",TRUE,FALSE,"X",2149936,2158983,"-",9048
"Cyp4d1","CG3656","FBgn0005670",FALSE,FALSE,"X",2159145,2162180,"-",3036
"CG3630","CG3630","FBgn0023540",TRUE,FALSE,"X",2162196,2172281,"+",10086
"mir-3641","CR43520","FBgn0263630",FALSE,FALSE,"X",2171086,2171154,"+",69
"ND-B14.5A","CG3621","FBgn0025839",TRUE,FALSE,"X",2172526,2173432,"+",907
"Cyp4d14","CG3540","FBgn0023541",TRUE,FALSE,"X",2173415,2175315,"-",1901
"asRNA:CR45479","CR45479","FBgn0267035",TRUE,FALSE,"X",2173480,2175855,"+",2376
"asRNA:CR44690","CR44690","FBgn0265901",TRUE,FALSE,"X",2175817,2180816,"-",5000
"Cyp4d2","CG3466","FBgn0011576",TRUE,FALSE,"X",2176006,2178728,"+",2723
"Cyp4ae1","CG10755","FBgn0015036",FALSE,FALSE,"X",2179007,2180998,"+",1992
"pn","CG3461","FBgn0003116",TRUE,FALSE,"X",2181211,2182916,"+",1706
"Nmd3","CG3460","FBgn0023542",TRUE,FALSE,"X",2182818,2184668,"-",1851
"CG17776","CG17776","FBgn0040899",TRUE,FALSE,"X",2184725,2185258,"+",534
"CG17777","CG17777","FBgn0040900",TRUE,FALSE,"X",2186855,2187741,"+",887
"CG3457","CG3457","FBgn0024984",TRUE,FALSE,"X",2187820,2188919,"+",1100
"Mct1","CG3456","FBgn0023549",TRUE,FALSE,"X",2189188,2205373,"+",16186
"CG14053","CG14053","FBgn0029603",TRUE,FALSE,"X",2191639,2193909,"-",2271
"asRNA:CR43637","CR43637","FBgn0263628",TRUE,FALSE,"X",2200623,2201857,"-",1235
"FarO","CG18031","FBgn0023550",FALSE,FALSE,"X",2201820,2203866,"-",2047
"SmydA-8","CG33548","FBgn0053548",FALSE,FALSE,"X",2205515,2213809,"-",8295
"Vinc","CG3299","FBgn0004397",TRUE,FALSE,"X",2214347,2222567,"-",8221
"CG14052","CG14052","FBgn0029606",FALSE,FALSE,"X",2223754,2224969,"+",1216
"pcx","CG3443","FBgn0003048",TRUE,FALSE,"X",2225296,2238045,"+",12750
"kz","CG3228","FBgn0001330",TRUE,FALSE,"X",2237858,2242035,"-",4178
"fs(1)K10","CG3218","FBgn0000810",TRUE,FALSE,"X",2242138,2246041,"+",3904
"Or2a","CG3206","FBgn0023523",TRUE,FALSE,"X",2246231,2247567,"+",1337
"crn","CG3193","FBgn0000377",TRUE,FALSE,"X",2247594,2249983,"-",2390
"CG3191","CG3191","FBgn0023525",TRUE,FALSE,"X",2250145,2251993,"-",1849
"CG3091","CG3091","FBgn0029608",TRUE,FALSE,"X",2252332,2254197,"-",1866
"CG3078","CG3078","FBgn0023524",FALSE,FALSE,"X",2254403,2259863,"-",5461
"temp","CG3073","FBgn0027296",TRUE,FALSE,"X",2260207,2262515,"-",2309
"CG3071","CG3071","FBgn0023527",TRUE,FALSE,"X",2262837,2264825,"+",1989
"CG2924","CG2924","FBgn0023528",TRUE,FALSE,"X",2264657,2270761,"-",6105
"lncRNA:CR45480","CR45480","FBgn0267036",TRUE,FALSE,"X",2269996,2270507,"+",512
"Grp170","CG2918","FBgn0023529",TRUE,FALSE,"X",2271008,2275068,"-",4061
"Vml","CG34333","FBgn0085362",FALSE,FALSE,"X",2275822,2277781,"+",1960
"CG2865","CG2865","FBgn0023526",TRUE,FALSE,"X",2278031,2293411,"-",15381
"Raf","CG2845","FBgn0003079",TRUE,FALSE,"X",2295466,2343870,"+",48405
"lncRNA:CR34052","CR34052","FBgn0054052",FALSE,FALSE,"X",2321758,2322264,"-",507
"CG14050","CG14050","FBgn0040392",TRUE,FALSE,"X",2324748,2326217,"-",1470
"CG2854","CG2854","FBgn0040391",TRUE,FALSE,"X",2327128,2328941,"+",1814
"lncRNA:CR33218","CR33218","FBgn0053218",TRUE,FALSE,"X",2330159,2330826,"+",668
"Ilp6","CG14049","FBgn0044047",TRUE,FALSE,"X",2331493,2334658,"-",3166
"mRpL14","CG14048","FBgn0040389",TRUE,FALSE,"X",2343997,2344649,"-",653
"CG2841","CG2841","FBgn0003159",TRUE,FALSE,"X",2344949,2366356,"-",21408
"PsGEF","CG43947","FBgn0264598",TRUE,FALSE,"X",2367121,2387664,"-",20544
"CG12496","CG12496","FBgn0040385",FALSE,FALSE,"X",2409365,2410901,"-",1537
